ID,nest,year,firstFound,lastPresent,lastChecked,fate,ageDay1,site,rat5,rat6,rat7,rat8,rat9,rat10,mouse5,mouse6,mouse7,mouse8,mouse9,mouse10,habitat,orientation,proximate_village,elevation,nest_width,nest_height,nest_lenght,chamber,substrate,walls,vegetation_cover,curved_entrance,predated,predator
228,213,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,11,31,36,41,yes,rock,no,0,0,1,cat
228,214,2009,1,12,13,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,18,26,29,36,no,soil,no,0,0,1,cat
228,215,2009,2,14,15,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,9,13.5,17,115,yes,rock,no,0,0,1,cat
228,218,2009,2,11,12,1,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,176,37,77,90,yes,rock,yes,40,0,1,cat
228,219,2009,2,21,21,0,-12,Fonte Velha,0.2,0.2,0.8,0.8,0.8,0.8,0.7,0.7,0.2,0.2,0.2,0.2,semi-natural grassland,S,200,145,35,15,100,yes,soil,no,40,1,0,unpred
228,220,2009,2,21,21,0,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3700,175,37,30,65,yes,soil,no,70,0,0,unpred
228,221,2009,2,9,10,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3703,200,156,43,100,yes,soil,no,30,0,1,cat
228,222,2009,2,10,11,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3704,200,156,43,100,yes,rock,no,30,0,1,cat
228,223,2009,2,10,11,1,-7,Pico João de Moura,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,riverbank with trees,NE,3707,173,180,80,114,yes,rock,no,30,0,1,cat
228,801,2009,2,8,9,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,9,35,103,115,yes,rock,no,0,0,1,cat
228,802,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,12,73,47,136,yes,rock,no,0,0,1,cat
228,803,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,1,21,34,36,yes,rock,no,0,0,1,cat
228,804,2009,1,21,21,0,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,10,41.5,12,42,yes,rock,no,0,0,0,unpred
228,805,2009,2,21,21,0,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,32,26.5,24,43,yes,rock,no,0,0,0,unpred
228,806,2009,2,2,3,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,32,120,90,80,yes,rock,no,0,0,1,cat
228,807,2009,2,2,3,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,7,27,89,79,yes,rock,no,0,0,1,cat
228,808,2009,1,9,10,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,12,42,38,124,yes,rock,no,0,0,1,rat
228,809,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,6,30,35,140,yes,rock,no,0,0,1,cat
228,811,2009,1,9,10,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,26,36,140,yes,rock,no,0,0,1,cat
228,812,2009,2,10,11,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,26,30,89,yes,rock,no,0,0,1,cat
228,815,2009,2,2,3,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,1,28,35,29,yes,rock,no,0,0,1,cat
228,816,2009,1,9,10,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,1,24,26,39,yes,rock,no,0,0,1,cat
228,817,2009,2,11,12,1,-8,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,1,45,44,126,yes,rock,no,0,0,1,cat
228,818,2009,2,9,10,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,6,30,89,76,yes,rock,no,0,0,1,cat
228,819,2009,1,21,21,0,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,48,27,46,yes,rock,no,0,0,0,unpred
228,820,2009,1,9,10,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,0,23,25,31,yes,rock,no,0,0,1,cat
228,821,2009,2,13,14,1,-9,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,88,71,121,yes,rock,no,0,0,1,cat
228,822,2009,2,8,9,1,-4,Fajã Rochosa,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,coast with rocks,SE,590,5,23,29,40,yes,rock,no,0,0,1,cat
